screen_width,window_height,window_width,curTime,id,screen_height,block_time,example,rt,totalPoints,transition,rightpoints,trial,leftpoints,task_attempt,error
1366,760,1349,03/03/2018@13:31:33,ef off,768,14278,yup in a heave,1635,1,StartBlock,1,1,1,shape,0
1366,760,1349,03/03/2018@13:31:33,ef off,768,14278,yup in a heave,658,3,Switch,2,2,0,color,0
1366,760,1349,03/03/2018@13:31:33,ef off,768,14278,yup in a heave,562,5,Repeat,2,3,0,color,0
1366,760,1349,03/03/2018@13:31:33,ef off,768,14278,yup in a heave,541,7,Repeat,2,4,0,color,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,1583,1,StartBlock,1,1,1,shape,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,1257,1,Repeat,1,2,0,shape,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,1238,1,Repeat,1,3,0,shape,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,625,1,Repeat,1,4,0,shape,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,1119,1,Repeat,1,5,0,shape,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,455,1,Repeat,1,6,0,shape,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,450,1,Repeat,2,7,0,shape,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,714,1,Repeat,3,8,0,shape,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,985,4,Switch,3,9,0,color,0
1366,760,1349,03/03/2018@14:26:40,eff off 2,768,15054,yup in a heave,506,7,Repeat,3,10,1,color,0
